"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 14:45:19 BDT 2023","Wed May 24 14:45:30 BDT 2023","10597","Default suite","Default test","testcases.BookDetailsTest","testcases.BookDetailsTest","bookDetailsTest","bookDetailsTest",""
"passed","Wed May 24 14:04:29 BDT 2023","Wed May 24 14:04:38 BDT 2023","8682","Default suite","Default test","testcases.HomePageTest","testcases.HomePageTest","homePageTest","Visit to wifilife.com","Visit to wafilife.com then wait for 3 seconds and take a screenshot"
